uri,normalized,hisco_category,provenance
,commissaris van huwelijkse zaken,https://iisg.amsterdam/resource/hisco/code/hisco/31090,jaikwil
,commissaris van thesorie,https://iisg.amsterdam/resource/hisco/code/hisco/31090,jaikwil
,confettimaker,https://iisg.amsterdam/resource/hisco/code/hisco/73400,jaikwil
,confiturier,https://iisg.amsterdam/resource/hisco/code/hisco/77990,jaikwil
,conrector,https://iisg.amsterdam/resource/hisco/code/hisco/13940,jaikwil
,conrector (stad),https://iisg.amsterdam/resource/hisco/code/hisco/13940,jaikwil
,constabel,https://iisg.amsterdam/resource/hisco/code/hisco/58330,jaikwil
,consul-generaal,https://iisg.amsterdam/resource/hisco/code/hisco/20210,jaikwil
,controleur,https://iisg.amsterdam/resource/hisco/code/hisco/94980,jaikwil
,convooiloper,https://iisg.amsterdam/resource/hisco/code/hisco/37040,jaikwil
,convooimeester,https://iisg.amsterdam/resource/hisco/code/hisco/31020,jaikwil
,corrector,https://iisg.amsterdam/resource/hisco/code/hisco/39940,jaikwil
,custodiemaker,https://iisg.amsterdam/resource/hisco/code/hisco/81208,jaikwil
,damastreder,https://iisg.amsterdam/resource/hisco/code/hisco/75432,jaikwil
,damastwerker,https://iisg.amsterdam/resource/hisco/code/hisco/75432,jaikwil
,damastwerkersgezel,https://iisg.amsterdam/resource/hisco/code/hisco/75432,jaikwil
,damveger,https://iisg.amsterdam/resource/hisco/code/hisco/99910,jaikwil
,dansmeester,https://iisg.amsterdam/resource/hisco/code/hisco/13390,jaikwil
,dekenkramer,https://iisg.amsterdam/resource/hisco/code/hisco/45220,jaikwil
,dekenmaker,https://iisg.amsterdam/resource/hisco/code/hisco/79590,jaikwil
,dekenwerker,https://iisg.amsterdam/resource/hisco/code/hisco/79590,jaikwil
,delver,https://iisg.amsterdam/resource/hisco/code/hisco/99999,jaikwil
,destillateur,https://iisg.amsterdam/resource/hisco/code/hisco/74400,jaikwil
,deurwaarder,https://iisg.amsterdam/resource/hisco/code/hisco/39340,jaikwil
,deurwaarder (comptoir hoofdelijke betaling),https://iisg.amsterdam/resource/hisco/code/hisco/39340,jaikwil
,deurwaarder (gemene landsmiddelen),https://iisg.amsterdam/resource/hisco/code/hisco/39340,jaikwil
,deurwaarder (Hof van Holland),https://iisg.amsterdam/resource/hisco/code/hisco/39340,jaikwil
,deurwaarder (kerk),https://iisg.amsterdam/resource/hisco/code/hisco/39340,jaikwil
,diamantslijper,https://iisg.amsterdam/resource/hisco/code/hisco/88030,jaikwil
,diamantslijper en juwelier,https://iisg.amsterdam/resource/hisco/code/hisco/88030,jaikwil
,diamantsnijder,https://iisg.amsterdam/resource/hisco/code/hisco/88030,jaikwil
,Diamantsnijder,https://iisg.amsterdam/resource/hisco/code/hisco/88030,jaikwil
,diamantsnijdersgezel,https://iisg.amsterdam/resource/hisco/code/hisco/88030,jaikwil
,dienaar,https://iisg.amsterdam/resource/hisco/code/hisco/54020,jaikwil
,dienaar (glashuis),https://iisg.amsterdam/resource/hisco/code/hisco/54020,jaikwil
,dienaar (hof),https://iisg.amsterdam/resource/hisco/code/hisco/20210,jaikwil
,dienaar (in dienst officier),https://iisg.amsterdam/resource/hisco/code/hisco/58300,jaikwil
,dienaar (Rijnstroom),https://iisg.amsterdam/resource/hisco/code/hisco/54020,jaikwil
,dienaar (WIC),https://iisg.amsterdam/resource/hisco/code/hisco/54020,jaikwil
,directeur-generaal Nederlands-Indi‘ (gewezen),https://iisg.amsterdam/resource/hisco/code/hisco/21110,jaikwil
,doctor,https://iisg.amsterdam/resource/hisco/code/hisco/6105,jaikwil
,doctor in de rechten,https://iisg.amsterdam/resource/hisco/code/hisco/12000,jaikwil
,doctor in de rechten en ontvanger verkopingen Oldampt,https://iisg.amsterdam/resource/hisco/code/hisco/12000,jaikwil
,doctor in de rechten en schepen,https://iisg.amsterdam/resource/hisco/code/hisco/12000,jaikwil
,doctor medicinae,https://iisg.amsterdam/resource/hisco/code/hisco/6105,jaikwil
,Domheer tot Utrecht,https://iisg.amsterdam/resource/hisco/code/hisco/14120,jaikwil
,doodkleedverhuurder,https://iisg.amsterdam/resource/hisco/code/hisco/41040,jaikwil
,dozenmaker,https://iisg.amsterdam/resource/hisco/code/hisco/91025,jaikwil
,dozenmakersgezel,https://iisg.amsterdam/resource/hisco/code/hisco/91025,jaikwil
,draadpletter,https://iisg.amsterdam/resource/hisco/code/hisco/72725,jaikwil
,draadtrekker,https://iisg.amsterdam/resource/hisco/code/hisco/72725,jaikwil
,draaier,https://iisg.amsterdam/resource/hisco/code/hisco/81230,jaikwil
